# sector size     filename
00001186 00008400 \BG\DRFDFD.IPD
00001197 00007A00 \BG\DRFDFE.IPD
000011A7 00009500 \BG\DRFDFF.IPD
000011BA 00005100 \BG\DRFE00.IPD
000011C5 00005800 \BG\DRFEFD.IPD
000011D0 00008E00 \BG\DRFEFE.IPD
000011E2 0000AC00 \BG\DRFEFF.IPD
000011F8 00001700 \BG\DRFF01.IPD
000011FB 00008600 \BG\DRFFFF.IPD
0000120C 00008200 \BG\DRG01.TIM
0000121D 00008200 \BG\DRG02.TIM
0000122E 00008100 \BG\DRG03.TIM
0000123F 00008100 \BG\DRG04.TIM
00001250 00007C00 \BG\DRU0000.IPD
00001260 00009400 \BG\DRU0001.IPD
00001273 00009000 \BG\DRU0100.IPD
00001285 00008100 \BG\DRU01F.TIM
00001296 00008300 \BG\DRU0200.IPD
000012A7 00008100 \BG\DRU02F.TIM
000012B8 00004100 \BG\DRU02H.TIM
000012C1 00008100 \BG\DRU03F.TIM
000012D2 00008100 \BG\DRU04F.TIM
000012E3 00008100 \BG\DRU05F.TIM
000012F4 00004100 \BG\DRU05H.TIM
000012FD 00008100 \BG\DRU06F.TIM
0000130E 00006700 \BG\DRUFF00.IPD
0000131B 00008C00 \BG\DRUFF01.IPD
0000132D 00008200 \BG\DRUG01.TIM
0000133E 00008200 \BG\DRUG02.TIM
0000134F 00008100 \BG\DRUG03.TIM
00001360 00008100 \BG\DRUG04.TIM
00001371 00004C00 \BG\DRU_GLB.PLM
0000137B 00008100 \BG\DR_GLB.PLM
0000138C 0000FB00 \BG\ER0000.IPD
000013AC 0000B500 \BG\ER0001.IPD
000013C3 0000AE00 \BG\ER00FC.IPD
000013D9 00005A00 \BG\ER00FD.IPD
000013E5 00009E00 \BG\ER00FE.IPD
000013F9 0000F200 \BG\ER00FF.IPD
00001418 00007E00 \BG\ER0100.IPD
00001428 00007300 \BG\ER0101.IPD
00001437 0000AC00 \BG\ER01FC.IPD
0000144D 0000D300 \BG\ER01FD.IPD
00001468 0000FD00 \BG\ER01FE.IPD
00001488 00006100 \BG\ER01FF.IPD
00001495 0000A700 \BG\ER0200.IPD
000014AA 00006B00 \BG\ER0201.IPD
000014B8 0000A100 \BG\ER02FC.IPD
000014CD 0000A300 \BG\ER02FD.IPD
000014E2 0000B200 \BG\ER02FE.IPD
000014F9 00005C00 \BG\ER02FF.IPD
00001505 0000CB00 \BG\ER0300.IPD
0000151F 00010A00 \BG\ER0301.IPD
00001541 00008600 \BG\ER03FD.IPD
00001552 00009D00 \BG\ER03FE.IPD
00001566 00006900 \BG\ER03FF.IPD
00001574 0000C200 \BG\ER0400.IPD
0000158D 0000D600 \BG\ER0401.IPD
000015A8 00003000 \BG\ER0402.IPD
000015AE 00004C00 \BG\ER04FD.IPD
000015B8 00004500 \BG\ER04FE.IPD
000015C1 00009C00 \BG\ER04FF.IPD
000015D5 00008200 \BG\ER1F.TIM
000015E6 00008100 \BG\ER201.TIM
000015F7 00008100 \BG\ER202.TIM
00001608 00004100 \BG\ER20H.TIM
